frame.time_epoch;ip.proto;ip.src;ip.dst;tcp.srcport;tcp.dstport;tcp.flags
1603192181.619576000;6;1.1.2.3;5.6.7.8;50030;80;0x00000002
1603192181.619869000;6;5.6.7.8;1.1.2.3;80;50030;0x00000012
1603192181.619936000;6;1.1.2.3;5.6.7.8;50030;80;0x00000010
1603192181.620060000;6;1.1.2.3;5.6.7.8;50030;80;0x00000018
1603192181.620312000;6;5.6.7.8;1.1.2.3;80;50030;0x00000010
1603192181.620867000;6;5.6.7.8;1.1.2.3;80;50030;0x00000010
1603192181.620884000;6;1.1.2.3;5.6.7.8;50030;80;0x00000010
1603192181.620917000;6;5.6.7.8;1.1.2.3;80;50030;0x00000010
1603192181.620936000;6;1.1.2.3;5.6.7.8;50030;80;0x00000010
1603192181.620963000;6;5.6.7.8;1.1.2.3;80;50030;0x00000018
1603192181.620972000;6;1.1.2.3;5.6.7.8;50030;80;0x00000010
1603192181.622747000;6;1.1.2.3;5.6.7.8;50030;80;0x00000011
1603192181.623310000;6;5.6.7.8;1.1.2.3;80;50030;0x00000011
1603192181.623328000;6;1.1.2.3;5.6.7.8;50030;80;0x00000010
1603192182.622253000;6;1.1.2.3;5.6.7.8;50032;80;0x00000002
1603192182.622515000;6;5.6.7.8;1.1.2.3;80;50032;0x00000012
1603192182.622556000;6;1.1.2.3;5.6.7.8;50032;80;0x00000010
1603192182.622670000;6;1.1.2.3;5.6.7.8;50032;80;0x00000018
1603192182.622860000;6;5.6.7.8;1.1.2.3;80;50032;0x00000010
1603192182.623265000;6;5.6.7.8;1.1.2.3;80;50032;0x00000010
1603192182.623284000;6;1.1.2.3;5.6.7.8;50032;80;0x00000010
1603192182.623314000;6;5.6.7.8;1.1.2.3;80;50032;0x00000010
1603192182.623326000;6;1.1.2.3;5.6.7.8;50032;80;0x00000010
1603192182.623363000;6;5.6.7.8;1.1.2.3;80;50032;0x00000018
1603192182.623372000;6;1.1.2.3;5.6.7.8;50032;80;0x00000010
1603192182.624386000;6;1.1.2.3;5.6.7.8;50032;80;0x00000011
1603192182.624912000;6;5.6.7.8;1.1.2.3;80;50032;0x00000011
1603192182.624937000;6;1.1.2.3;5.6.7.8;50032;80;0x00000010
1603192183.624605000;6;1.1.2.3;5.6.7.8;50034;80;0x00000002
1603192183.624915000;6;5.6.7.8;1.1.2.3;80;50034;0x00000012
1603192183.624956000;6;1.1.2.3;5.6.7.8;50034;80;0x00000010
1603192183.625032000;6;1.1.2.3;5.6.7.8;50034;80;0x00000018
1603192183.625262000;6;5.6.7.8;1.1.2.3;80;50034;0x00000010
1603192183.625667000;6;5.6.7.8;1.1.2.3;80;50034;0x00000010
1603192183.625685000;6;1.1.2.3;5.6.7.8;50034;80;0x00000010
1603192183.625716000;6;5.6.7.8;1.1.2.3;80;50034;0x00000010
1603192183.625731000;6;1.1.2.3;5.6.7.8;50034;80;0x00000010
1603192183.625762000;6;5.6.7.8;1.1.2.3;80;50034;0x00000018
1603192183.625769000;6;1.1.2.3;5.6.7.8;50034;80;0x00000010
1603192183.626767000;6;1.1.2.3;5.6.7.8;50034;80;0x00000011
1603192183.627263000;6;5.6.7.8;1.1.2.3;80;50034;0x00000011
1603192183.627290000;6;1.1.2.3;5.6.7.8;50034;80;0x00000010
1603192184.627210000;6;1.1.2.3;5.6.7.8;50036;80;0x00000002
1603192184.627469000;6;5.6.7.8;1.1.2.3;80;50036;0x00000012
1603192184.627517000;6;1.1.2.3;5.6.7.8;50036;80;0x00000010
